Artist,Tags
Retrofuture,"female vocalists, UK, shoegaze, 4, multiple artists, spotify"
Novo Amor,"folk, indie, acoustic, british, indie folk, alternative, welsh, cardiff, indie rock, singer-songwriter, United Kingdom, wales, bon iver, seen live, pop, ambient, UK, winter, new, male vocalists, folk pop, singer-songwriters, 10s, 2010s, annie mac, -, over 1 million listeners, needs more listeners, galles, musica palurda, musical hot water bottle, ten million plays, sofar sounds, falsetto folk"
The Goo Goo Dolls,"rock, alternative rock, alternative, 90s, pop, seen live, indie, goo goo dolls, pop rock, american, punk, post-grunge, emo, punk rock, male vocalists, acoustic, hard rock, indie rock, favorites, Love, soft rock, new york, USA, classic rock, 00s, Buffalo, Acoustic Rock, Pop-Rock, Grunge, 80s, Adult Alternative, male vocalist, Favourites, metal, iris"
Ryan Caraveo,"Hip-Hop, electronic, rap, pop, seattle, washington, USA, american, rnb, hiphop Seattle music eletronic rap"
Druzu,
Regina Spektor,"female vocalists, indie, singer-songwriter, piano, alternative, seen live, anti-folk, folk, indie pop, russian, pop, female vocalist, Regina Spektor, female, american, beautiful, indie rock, acoustic, rock, quirky, jazz, piano rock, 00s, new york, Love, Mellow, favorites, antifolk, Russia, experimental, Favorite, chillout, REGINA, female vocals, indie folk, amazing, alternative rock, baroque pop, genius, USA, cute, female vocal"
Mac Davis,"country, classic country, 70s, mac davis, classic rock, old and dusty, rock, oldies, pop, classic, folk, USA, americana, adult contemporary, male vocal, fun, male vocalists, funny, country rock, texas, deceased, no, Kate, close harmony, 70s rock, music for dad, spotify, Classic-rock, dusty, More Gay Than a San Fransisco Man in a Hawaiian Shirt Sniffing Some Liquid Gold and Watching Sex in the City, RX, OBJECTUM-SEXUALIS, NICHOPOULOOZA, OS GROUP, classic-country, ilg, MusicLibrary, 20210213-J-Musiclist"
Tj Dizzle SnoMan,
Lunar Vacation,"dream pop, indie pop, seen live, indie, female vocalists, USA, american, atlanta, rock, alternative, indie rock, 4, 2010s, georgia, bedroom pop, spotify, atlanta indie, 2020s, Pool Rock, Atlanta pool rock, Keeled Scales, upcoming album 2024"
Stellar,"k-pop, pop, Korean, female vocalists, Kpop, rock, alternative, New Zealand, girl group, stellar, Aussie, Hip-Hop, alternative rock, sexy, indie rock, russian, punk rock, Asian, 2011, disbanded, Girl Groups, Korea, Korean Pop, Korean girl group, Asian Pop, electronic, female, hip hop, punk, emo, rap, pop rock, australian, cute, new age, shoegaze, ska, brazil, dream pop, alternative metal, post rock, Kiwi, male vocalists, underrated, 2013, female vocal, Nu Metal, 2012, 10s, 2010s, Nu-metal, south korea, 2016, 2014, 2015, kgrl, dark pop, east coast hip hop, east coast hip-hop, Shinhwa, asian music, girlgroup, sun and moon and stars and outer space, 2010s pop, altmetal, 2017, 2018, boston hip-hop, korean female vocalists, australian female upbeat, boston hip hop, joa, soyoung, korean girl groups, 10s pop, massachusetts hip hop, 432hz, best of 10s, korean girlgroup, best of 2010s, Brave Sound, asian girl groups, best of 2016, gayoung, junyool, hyoeun, minhee, 2010s girl groups, 10s girl groups, summer 2016, The Entertainment Pascal, Eric Mun, Jeonyul, Leeseul, Top Class Entertainment, 2011 debuts, yongheun, 3rd gen kpop, massachusetts hip-hop"
Grace Carter,"rnb, pop, soul, british, female vocalists, 4, United Kingdom"
Katy J Pearson,"seen live, indie pop, female vocalists, pop, indie rock, female, british, alternative, singer-songwriter, UK, pop rock, solo, acoustic, bristol, folk rock, indie folk, folk pop, 4, english, heavenly, spotify, female guitarists, seen live x1, 2020s, upcoming album 2024"
Pom Pom Squad,"indie rock, indie, alternative, punk, seen live, female vocalists, USA, punk rock, rock, alternative rock, indie pop, american, pop punk, Garage Rock, Garage Punk, indie punk, bubblegrunge, Grunge, power pop, pop rock, Lo-Fi, Brooklyn, art rock, blues rock, art punk, alternative pop, female vocal, 4, post-grunge, punk blues, 2010s, riot grrl, alt-rock, punk pop, alt-pop, ny, 2020s, rutracker, yandex music, Art and Progressive Pop, upcoming album 2024"
Summer Salt,"seen live, indie rock, surf rock, indie, Surf, indie pop, seasons, pop, chill, rock, Bossa Nova, alternative rock, USA, Lo-Fi, american, summer, oldies, Psychedelic Rock, doo wop, austin, under 2000 listeners, Denver, United States, surf pop, seen twice, plan-it-x, 5432fun, cuddlecore, food and drink, posi-core, Quirk Pop, Sugar and salt, Jedi-rock, dTX, pop-punk orchestra, driving to hawaii, punctum records, tropical oldies"
Teyana Taylor,"rnb, Hip-Hop, hip hop, pop, female vocalists, american, Neo-Soul, contemporary rnb, teyana taylor, new york, r&b, rap, harlem, neptunes, female, soul, pop rap, east coast hip hop, seen live, USA, urban, female vocalist, trap, All, ballroom, femc, sexy, C, 90s, girls, 3, beauty, soft, Provocative, sex, Recommended, underrated, hot, Guilty Pleasures, women, sensual, New York City, woman, fantasy, misc, Girl, music, sounds, she, girlfriend, United States, Miscellaneous, genre, Erotic, femmina, adult, lust, femcee, pop-rap, suggestive, see, feminine, alternative rnb, Female Emcee, Her, Look, mammal, Pop RnB, jazmine sullivan, The Countdown, imaginary, Suggestions, 1990-born, Mila J, inspires, bad songs, musical journey to the ends of time, sistas, voyeur, finely tailored, lady love, K Michelle, Tinashe, lookie lookie, A fashionable likeness of cylindrical awareness, smell of female, singing female, finis, deek, If You Could Hie to Kolob, procurar depois, A marvel of beauty, deek deek, dake, mime of charisma, female lady, female woman lady, lady female, lady woman, filtered extremities"
Madi Diaz,"indie, Nashville, americana, Alt-country, kickasstic, Recommended, pay attention, female vocalists, singer-songwriter, folk, pop, indie pop, seen live, country, USA, indie rock, acoustic, indie-folk, 10s, sxsw 2009, connecticut, electronic, female, rock, catchy, russian, american, folk rock, California, alternative country, 00s, Female Voices, Discoveries, electric, Pennsylvania, sxsw 2010, 20s, geohash:dr79kyuhye3h, Greenwich, listen, sxsw2012, all-time favorite, new music, spotify, yoyo, sing a long, my morning download, opening bell, madi diaz, Ten out of Tenn, terry seen live"
Tycho Jones,"pop, british, UK"
Vacationer,"indie, chillout, electronic, seen live, american, alternative, indie pop, nu hula, discover, take a look at, electronica, trip-hop, electropop, pop, chill, Philadelphia, USA, indietronica, male vocalists, to check out, geohash:dr4e389m9ey8, rock, soul, Lo-Fi, beautiful, Brooklyn, dream pop, summer, death metal, sunshine, Fave Indie Pop, check out, fresh, chillwave, 10s, 2010s, electro-pop, saw live, Pennsylvania, sxsw 2012, All, dreamwave, dream-pop, q, done, relevant magazine, Chill pop, psycho-pop, chanteurs, Seen Live in Concert, descubierto en 2013, discovered in 2013, temas gratis, bro vibes, Ken Vasoli"
Jack Harlow,"rap, Hip-Hop, trap, pop rap, hip hop, seen live, pop, Jack Harlow, USA, american, underground hip hop, white boy, sex music, cracker, kentucky, white rap, hyphy, cloud rap, Conscious Hip Hop, white boy rap, Southern Hip Hop, oon kayny kattomassa, over 1 million listeners, kentucky hip hop, zesty, deep underground hip hop, chipmunk soul, ten million plays, sxsw 2017, underground midwest kentucky  trap metal hip hop, White guy whos cool with black dudes rap, white guy in the hood rap, music too fuck too, cutie pie rap, underground fierce pirate batallion hip hop ghoul trap, My musician crushes, cracker rap, cracker hip hop, cracker hip-hop"
Jenny Lewis,"indie, female vocalists, singer-songwriter, seen live, folk, indie pop, Alt-country, indie rock, americana, jenny lewis, american, indie folk, Recommended, Rilo Kiley, kickasstic, pay attention, alternative, female vocalist, pop, country, rock, USA, Saddle Creek, acoustic, California, female, beautiful, 00s, Favorite, favorites, Nevada, los angeles, soft rock, las vegas, sexy, pop rock, alternative country, seen in concert, United States, people who make my world a better place for one reason or another, folk rock, the ladies that should sit on my sofa or somewhere else in my flat because they are darlings and oh so lovely, country rock, Great Lyricists, 10s, roskilde 06, All, Alternative Country-Rock, Have Seen Live, bonnaroo 2009"
Lil Nas X,"Hip-Hop, rap, trap, country rap, seen live, pop, hip hop, country, american, pop rap, lgbt, georgia, trap rap, queer, nicki minaj, Lil Nas X, nasmaraj, alternative, USA, pop rock, gay, atlanta, United States, not country, lgbtq, country trap, rock, pop punk, male vocalists, contemporary rnb, Southern Hip Hop, 2019, 2020s, industry plant, lgbtq hip hop, electropop, Grunge, alternative rock, singer-songwriter, experimental hip hop, 3, liquid funk, crossover, spaghetti western, homophobia is so gay, country pop, modern country, western, post-grunge, latin pop, mariachi, garbage, yeehaw, alternative rap, 2010s, us, favs, hick-hop, alt-pop, spotify, comedy rap, Buck, southern hip-hop, in english, my beloved, anal pop, 6 stars, flamenco pop, over 1 million listeners, ENG, meme rap, 2018, Barb, Queer Rap, sza, Lithia Springs, radio alternative, ten million plays, out music, better than selena gomez, LGBT artists, bro-country,  rap, islamophobic, yeehaw rap, hee hop, conscientious hip hop, 2010s rap, JAVILDA, Queer Trap, endedbts, ended kanye west, buck breaking, diya amin, seen live - Werchter 2023"
Oh Wonder,"indie, electronic, seen live, indie pop, chillout, pop, female vocalists, downtempo, british, Need to scrobble, electropop, minimal pop, alternative, UK, england, english, United Kingdom, All, trip-hop, singer-songwriter, pop rock, happy, Love, piano, indietronica, shoegaze, london, dream pop, Dope, male vocalists, 4, check out, boring, 10s, eletronic, electro-pop, exclamations, try, chilout, -, contemporary r&b, listen to later, music i tried but didnt like, alternative rnb, landslide, future beats, alternative r and b, cillout, ten million plays, sochilounge, need to scrobble 2, oh wonder, band: oh wonder, soft-tronic, lowlands 2016, indie poptimism, summerwell 2017, lalaiti, similar to quadron, pinkpop 2018, MusicLibrary, 20210213-J-Musiclist"
Lauran Hibberd,"indie pop, female vocalists, seen live, indie, indie rock, singer-songwriter, british, pop rock, pop, powerpop, folk, UK, acoustic, england, pop punk, female vocalist, singer-songwriters, 10s, 2010s, United Kingdom, isle of wight, All, great vocals, female guitarists, 2020s, sneeuwpop, seen live and hugged, 4-25"
Foxx Bodies,"Garage Rock, indie rock, punk rock, Garage Punk, 5432fun"
Spector,"seen live, british, indie, rock, electronic, indie rock, alternative, psytrance, indie pop, london, pop, UK, synth pop, post-punk, Awesome, england, fun, male vocalists, english, feel-good, Songs to dance to, Playfest2012, trance, electropop, modern, electro house, Post punk, psychedelic, psy-trance, goa, psychedelic trance, check out, Indietronic, indie electro, eletronic, justice, United Kingdom, Bands I have seen live, psy trance, psy, All, Goa Trance, wanted, luisterpaal, Next big things, Loco, bbc sound of 2012, newrock - uk, music i tried but didnt like, live gezien, the vaccines, indie - uk, party indie, summer heart, Southside 2012, seen live - ab 2012, Jiggy, feelgood indie, 0913, shit tier, english indie rock, seen live 14, Eurosonic 2012, nme new bands, Champion Records, rouge industries, Tramlines 2012, jade laroche, pleasing to the eye, shimmer pop, TBLT"
MØ,"indie pop, seen live, danish, dream pop, indie, pop, female vocalists, electronic, chillout, chill, world, 3, World Music, sunflower, Skitz0rz, uitluisteren artist, holloween skitz0rz, fav888, my dance room, electropop, synthpop, denmark, alternative, singer-songwriter, indietronica, experimental, alternative dance, art pop, alternative rnb, soul, Electro Pop, alternative pop, glitch pop, odense, synth pop, r&b, rnb, 2010s, new indie, Hip-Hop, electronica, hip hop, indie electronic, electro, dance-pop, scandinavian, 00s, shit, 10s, All, seen live more than once, contemporary r&b, prog-rnb, minimal pop, dania, Karen Marie Orsted, 2020s"
Counting Crows,"rock, alternative, alternative rock, 90s, seen live, pop, indie, counting crows, american, pop rock, indie rock, acoustic, singer-songwriter, male vocalists, folk rock, classic rock, favorites, folk, Mellow, California, USA, Pop-Rock, soft rock, chill, Adult Alternative, Soundtrack, americana, chillout, melancholy, san francisco, Acoustic Rock, Favorite, emo, Favorite Artists, 00s, beautiful, Grunge, Alt-country, 90s Rock, country, punk, punk rock"
Colleen Green,"Lo-Fi, indie, indie pop, female vocalists, electronic, seen live, pop, indie rock, pop punk, power pop, noise pop, USA, Garage Rock, under 2000 listeners, garage pop, dream pop, garage, Lo-Fi Indie, chill, rock, punk, alternative, twee, twee pop, singer-songwriter, pop rock, post-punk, shoegaze, american, seenlive, punk rock, aa, to download, female vocalist, Pop-punk, female artists, 2011, diy, check out, checkout, ADHD, 10s, 2010s, 3 stars, seen in concert, girly, want, United States, 2014, bedroom, girls with guitars, sl, 5432fun, Bandcamp, stoner punk, spotify, indie punk, female guitarists, popgaze, I Like You, On the Radar, rather good stuff, fiery furnaces, eleanor friedberger, t1234 found on radio - check more, live 2015, 2020s, holler back, Seapony, Keep the Fate, 3-5, FREE DOWNLOADS FROM FEMALE VOCALISTS AND FEMALE FRONTED BANDS, Crumb Cabin, dream scrobbable lineup, electtronic1, burgerrecords, kentsimbtemp2, yandex music"
Happy Accidents,"indie, indie rock, jazz, punk, emo, Progressive rock, avantgarde, pop punk, Canterbury, Rock In Opposition"
BETWEEN FRIENDS,"indie pop, electronic, electropop, dance-pop, los angeles, bedroom pop, alt-pop, indie, female vocalists, indietronica, american, synthpop, California, male vocalists, United States, LA Pop, 3-5"
Hamzaa,"pop, british, indie pop, UK, rnb, United Kingdom, swedish synthpop, female soul vocalists"
Lo Moon,"seen live, electronic, indie, alternative rock, alternative, indie pop, indie rock, pop, USA, synth pop, american, 4, los angeles, check later, 10s, All, art pop, female guitarists, sun and moon and stars and outer space"
Lala Lala,"indie, Lo-Fi, dream pop, indie pop, seen live, indie rock, USA, chicago, Illinois, alternative, female vocalists, power pop, singer-songwriter, sadcore, Searching, Reflective, 3, american, introspective, melancholy, lofi, earnest, Bittersweet, introspection, reflection, intimate, yearning, diy, heartbreak, poignant, 2010s, friendship, Midwest, wistful, Sentimental, weary, disappointment, cathartic, bedroom pop, Visceral, confessional, urgent, Angst-Ridden, 5432fun, lifecycle, everyday life, bookmarks, Self-Conscious, Inglaterra, 2020s, kentsimbtemp"
Alan Ward,
Fightmilk,"indie rock, indie, indie pop, pop punk, rock, alternative, UK, female vocal, diy, nottingham city centre august 2023"
CHERYM,"pop punk, female vocalists, punk rock, northern ireland, punk, indie rock, power pop, pop rock, irish, powerpop"
Mini Trees,"dream pop, indie pop, alternative, female vocalists, USA, queer, 4, los angeles, spotify, upcoming album 2024"
Kyle Morgan,
Gang of Youths,"seen live, indie rock, australian, rock, indie, australia, alternative, alternative rock, 10s, indie pop, male vocalists, prog rock, All, Australian Rock, bookmarks, austernative,  hard rock,  indie rock, electric castle 2019, Jon Snow solist, Andrew w k solist"
BADBADNOTGOOD,"jazz, experimental, Hip-Hop, instrumental hip-hop, Avant-Garde, seen live, jazz fusion, instrumental, Canadian, nu jazz, hip hop, Progressive, Post-Bop, free jazz, Jazz Hop, jazz-hop, instrumental hip hop, electronic, canada, contemporary jazz, nu-jazz, toronto, experimental hip-hop, jazz rap, swag, electronica, post-rock, underground hip-hop, Fusion, acid jazz, experimental jazz, chillout, downtempo, funk, avantgarde, improvisations, rock, smooth, modern jazz, jazzy, 10s, ontario, jazz hip hop, east coast hip hop, hardcore hip hop, swag jazz"
Maxo Kream,"trap, Hip-Hop, Houston, hip hop, rap, Gangsta Rap, seen live, american, texas, Southern Hip Hop, Dirty South, pop rap, southern rap, cloud rap, Conscious Hip Hop, Houston rap, underground hip-hop, underground hip hop, gangsta, United States, trap music, Melodic Rap, trap rap, crip, mobb music, alternative trap, Maxo Kream"
Smallpools,"indie pop, indie, pop rock, alternative, seen live, pop, indie rock, american, male vocalists, los angeles, relevant magazine, synthpop, California, USA, indietronica, Pop-Rock, United States, electropop, rock, alternative rock, emo, power pop, Lo-Fi, alternative pop, dance rock, 2010s, sucks, indie dance, us, All, alt pop, fifa, done, RCA Records, remove, firefly festival, PE 75, corporate indie, spotify suggestions"
Big Thief,"seen live, indie rock, indie folk, folk, folk rock, indie, americana, female vocalists, acoustic, USA, dream pop, Alt-country, singer-songwriter, alternative, american, slowcore, Neo-Psychedelia, new york, indie pop, Brooklyn, psychedelic folk, 2010s, rock, noise pop, 4ad, queer, 10s, alternative rock, sad, Experimental Rock, jangle pop, soft rock, beautiful, melodic, psychedelic, thoughtful, Reflective, atmospheric, art rock, narrative, changed my life, Passionate, literate, introspective, melancholy, NYC, freak folk, organic, intense, Fiery, poetic, earnest, introspection, reflection, eerie, intimate, spacey, eclectic, underrated, alternative country, folk pop, yearning, warm, Saddle Creek, english, poignant, want to see live, heartache, autumnal, seen live twice, overrated, brooding, 20s, United States, tragic, wistful, tender, weary, cathartic, All, gritty, Volatile, Visceral, Brittle, regretful, mid, goat, acoustic pop, confessional, top artists, plaintive, avant-folk, spontaneous, improvisatory, slacker rock, progressive bluegrass, i have seen live, tragedy, vulnerable, female guitarists"
Rosie Tucker,"indie pop, indie rock, power pop, singer-songwriter, Garage Rock, queer, indie, USA, California, indie folk, los angeles, bubblegrunge, alternative, folk, female vocalists, pop rock, acoustic, beautiful, american, folk rock, folk pop, 2010s, femme, garage pop, confessional, 2019, multigenre, 2020s, lgbtq, 3-5, trans and gender diverse, n-b, yandex music"
WebsterX,"hip hop, rap, milwaukee, Hip-Hop, seen live, wisconsin, vice, Conscious Rap, closed sessions"
Arrested Development,"Hip-Hop, hip hop, rap, alternative rap, 90s, seen live, political, funk, alternative, hiphop, american, alternative hip-hop, political rap, alternative hip hop, underground hip-hop, indie, georgia, pop, reggae, funky, atlanta, Arrested Development, afrocentric hip-hop, USA, world, old school, male vocalists, southern rap, jazz, rock, soul, rnb, Jazz Hop, 1990s, chillout, underground rap, urban, intelligent, 00s, oldschool rap"
Remi Wolf,"seen live, indie pop, pop, soul, Neo-Soul, indie, USA, funk, alt-pop, synth funk, female vocalists, singer-songwriter, dance-pop, american, bedroom pop, contemporary rnb, electronica, indie rock, psychedelic pop, indietronica, rnb, California, queer, 4, los angeles, pop rap, palo alto, American Idol, funky pop, funktronica, female  vocalists, snythpop, modern alternative pop, nme 100, willowcore"
Bad Suns,"indie rock, indie, rock, seen live, alternative, space rock, desert rock, indie pop, pop, alternative rock, USA, american, California, los angeles, pop rock, british, post-rock, indietronica, nu-gaze, Pop-Rock, 2010s, art, us, All, CA, alt pop, nu gaze, Californian, done, typical, sun and moon and stars and outer space, under 5000 listeners, woodland hills, dinklegruber, Band of one song, Bad Suns, geohash:9q5dmh4kznq5"
Matt Maeson,"indie, indie rock, indie pop, american, alternative, blues rock, rock, alternative rock, folk, USA, blues, us, songs, virginia, United States, brap"
Etaoin,"pop, female vocalists, irish, ireland, london based"
Bruce Springsteen,"rock, classic rock, singer-songwriter, 80s, folk, seen live, american, americana, folk rock, Bruce Springsteen, male vocalists, heartland rock, 70s, the boss, pop, new jersey, 90s, USA, hard rock, guitar, pop rock, rock n roll, political, legend, 00s, favorites, classic, acoustic, Rock and Roll, springsteen, alternative, roots rock, folk-rock, blues, country, oldies, bruce, alternative rock"
Frankie Valli,"oldies, 60s, classic rock, swing, jazz, pop, rock, grease, Soundtrack, Frankie Valli, 70s, male vocalists, american, Disco, seen live, USA, musical, northern soul, soul, new jersey, 50s and 60s, 80s, lounge, Rock and Roll, doo wop, Made in Jersey, vocal, easy listening, soft rock, blues, beautiful, Retro, male vocalist, doo-wop, close harmony, am pop, westlife, manufactured pop, Awesomenessss x 31 million million and five, noise, Hip-Hop, electronic, electronica, trip-hop, Classical, female, classic, alternative, rap, ambient, female vocalists, hard rock, downtempo, singer-songwriter, pop rock, favorites, memories, Love, epic, acoustic, world, vocal jazz, sunshine pop, funk, romantic, Awesome, melodic, singer, Soundtracks, 90s, singers, male vocal, r&b, musicals, Mellow, Bee Gees, rnb, California, fun, cool, composers, 50s, 00s, crooner, early pop, Guilty Pleasures, falsetto, zappa, 1970s, childhood, northern, 10s, 1960s, 1950s, scat, 80s Pop, lazy eye, charity, the four seasons, aleister crowley"
White Lies,"indie rock, seen live, post-punk, british, indie, alternative, rock, alternative rock, Post-punk revival, new wave, UK, male vocalists, london, britpop, 00s, Post punk, electronic, english, dark, White Lies, england, darkwave, I was listening to this artist waaaaay before you because I try out new music BEFORE its hyped by the media"
Macie Stewart,"jazz, folk, indie, avant garde, Avant-Garde, free jazz, indie folk, improvisational, artpop"
Swelo,"indie, funk, electronic, Hip-Hop, alternative, rap, indie pop, dance, New Orleans, Dope, alternative hip-hop, under 2000 listeners, alternative hip hop, Scuzz"
ill peach,"pop, indie pop, female vocalists, USA, american, american pop"
NewDad,"shoegaze, indie, dream pop, indie rock, seen live, indie pop, irish, female vocalists, Lo-Fi, ireland, alternative, galway, pop, alternative rock, noise rock, post-punk, Gothic, Post punk, female vocalist, 4, want to see live, 2010s, female guitarists, 2020s, nme 100"
William Prince,"seen live, country, canada, underrated, native american, Winnipeg"
Self Esteem,"indie pop, seen live, pop, british, hardcore, indie, female vocalists, england, beatdown hardcore, electropop, english, beatdown, electronic, female, alternative, experimental, UK, solo, synth pop, Experimental pop, female vocals, france, scratch, Sheffield, under 2000 listeners, 2010s, seen, United Kingdom, mona, alt pop, Mozambique, alt-pop, seen live x2, art pop, ovni, booba, tasherzseenzlivez, self esteem, 2020s, Magna, 3-5, ubaa, Darkest Place, silent spirits, kaspa, lost grave, guided by nightmares, mikaya, morghelarisy, saw live 2022"
Captain Handsome,"indie, indie pop, indiepop"
O.T. Genasis,"Hip-Hop, rap, trap, BAKING SODA, meme rap, hip hop, turn up, american, pop rap, atlanta, All, one hit wonder, trap music, belizean, Gangster Rap, belize, trap rap, Southern Hip Hop, coco, CHATELET, F O R S E N B O Y S, hit u with that treintaiocho, music to listen while you baking, woop woop woop woop, OT GENASIS"
Nat Lefkoff,United States
Wale,"Hip-Hop, rap, hip hop, DC, seen live, Go-Go, underground hip-hop, wale, american, hipster rap, washington dc, east coast rap, washington, indie, underground rap, alternative hip-hop, East Coast, male vocalists, hiphop, pop, east coast hip hop, chill, pop rap, hipster hop, singer-songwriter, Dope, Dirty South, rnb, trap, alternative rap, maryland, All, lyricist, east coast hip-hop, progressive rap, dc hip hop, seinfeld, g-eazy, nike boots, Deebo Mac"
Skott,"pop, electronic, swedish, female vocalists, seen live, folk, Sweden, indie, alternative, indie pop, chillout, trip-hop, singer-songwriter, piano, scandinavian, beautiful, ethereal, singer-songwriters, melody, 10s, netherlands, collection, United States, my ladies, music i tried but didnt like, epic pop, electronic superhighway, Vikarbyn, 4-25"
Rubblebucket,"indie pop, indie, seen live, rock, indie rock, Brooklyn, new york, USA, american, pop, experimental, easy listening, noise pop, 00s, 10s, United States, All, art pop, noise, chillout, electronic, chill, alternative, math rock, female vocalists, dance, pop rock, Lo-Fi, Experimental Rock, Fusion, psychedelic, saxophone, jazz fusion, Retro, NYC, afrobeat, Psychedelic Rock, tolisten, alternative dance, francophone, check out, New York City, 2010s, Neo-Psychedelia, math pop, visual kei, female fronted, sxsw 2012, Vermont, geohash:dr5rkrcute9, kexp, seen twice, New Bands, BIRP, tropicália, Criminally Underrated, POP FUSION, baixar, burlington vt, stuff i need to check out, Elizabeth, Heidin, 2020s, Rubblebucket Orchestra, The Brighton Beat"
Sixpence None The Richer,"pop, female vocalists, rock, alternative, christian, pop rock, indie, 90s, alternative rock, american, christian rock, female vocalist, seen live, Sixpence None the Richer, soft rock, Pop-Rock, female, indie pop, contemporary christian, folk, Love, USA, acoustic, female vocals, Female Voices, indie rock, singer-songwriter, female vocal, sweet, classic rock, dream pop, Adult Alternative, 00s, texas, Kiss Me, Soundtrack, favorites, easy listening, relaxing, woman singer, chillout, gospel, christian pop, alternative pop"
Maddison,"rock, alternative rock, modern rock"
OTM,"Drum and bass, darkside, hardstep, drumfunk, darkstep, dubstep, Lo-Fi, germany, techstep, synthpop, german, technoid, to listen, venezuela, All, spotify"
Vince Staples,"Hip-Hop, rap, seen live, underground hip-hop, hip hop, Gangsta Rap, ugly, swag, trap, handsome, west coast hip hop, experimental hip hop, hardcore hip hop, american, California, hardcore hip-hop, west coast hip-hop, experimental, Conscious Hip Hop, los angeles, alternative hip-hop, west coast, West Coast Rap, long beach, electronic, conscious hip-hop, alternative rap, alternative hip hop, trap rap, vince staples, USA, underground rap, underground hip hop, experimental hip-hop, cloud rap, sexy, cute, dark, beautiful, relaxed, Reflective, introspective, Fierce, intense, Confident, Fiery, Confrontational, Provocative, introspection, reflection, Cerebral, Playful, grim, seen live twice, truth, pop rap, powerful, ofwgkta, United States, witty, thrilling, bleak, humorous, cathartic, All, gritty, good times, Motivation, Swaggering, urgent, zeitgeist, Brash, Hanging Out, turbulent, affirmation, Conscious Rap, destiny, everyday life, city life, biographical, mischief, street life, World View, trip-hop, indie, soul, alternative, hot, lyrical, 5 Stars, to listen, stuff to check out, underground, Neo Soul, Neo-Soul, Black, abstract hip-hop, 2010s, Horrorcore, wonky"
Memos,"new york, House, Brooklyn, deep house, memos, nu-disco, serhan aydemir"
NAMIA,"Power metal, christian metal, metal, melodic metal, heavy metal, christian, swedish, seen live, Progressive metal, white metal, Christian Power Metal, neo-classical metal, narnia, christian rock, Swedish Metal, Sweden, melodic heavy metal, Progressive rock, symphonic metal, neo-classical, neoclassical metal, white power metal, christian heavy metal, instrumental, Progressive, gospel, Scandanavian metal, Female fronted metal, hard rock, thrash metal, AOR, death metal, 00s, symphonic, neoclassical, All, prog metal, Melodic Power Metal, Flevo 2007"
Field Medic,"indie folk, Lo-Fi, indie, folk, indie pop, indie rock, Druggy, Dreamy, thoughtful, Searching, Reflective, atmospheric, american, introspective, melancholy, gentle, Rainy Day, earnest, Bittersweet, introspection, reflection, hypnotic, earthy, trippy, yearning, lonely, flowing, sunday afternoon, heartache, autumnal, airy, brooding, imagination, gloomy, wistful, enigmatic, Meandering, unsettling, day driving, wintry, plaintive, in love, languid, serious, indie electronic, synth pop, freak folk, folk rock, folk pop, 2010s, bedroom pop, small room, 2020s"
Samuel Jack,"soul, singer-songwriter, UK Pop, male soul vocalists"
Claptone,"House, deep house, electronic, seen live, nu disco, electronica, Disco, tech house, Berlin, dance, techno, germany, club, german, DIsco House, nu-disco, jazzy house, electropop, indie, sexy, downtempo, dance-pop, electro house, indietronica, minimal, liquid funk, remix, breakbeat, nu-jazz, Progressive House, house music, dj, tech-house, Soulful house, electro funk, disco punk, minimal wave, Funky Breaks, deep techno, Cream, claptone, indie dance, funky house, EDM, All, defected, filter house, opener, Jackin house, electro soul, nu-bluz, Silky Sexy Smooth, deep disco,  , 2024, good for you, Chiemsee, neversea 2023"
Open Blue Sky,
LANY,"synthpop, seen live, indie pop, electronic, pop, dream pop, electropop, USA, indie, electronica, alternative, male vocalists, synth pop, american, rnb, chillwave, shiver pop, rock, indie rock, pop rock, adult contemporary, indietronica, Awesome, Electro Pop, seenlive, alternative pop, Favorite, love at first listen, 10s, hypnagogic pop, us, bedroom pop, retrowave, vaporwave, synthiepop, l, synthwave, alternative rnb, oon kayny kattomassa, hairy chest, alt pop rock, LA Pop, lany, ten million plays, indietonica, 2015 discoveries, I Heard This Artist Before, Vaporpop, upcoming album 2023"
Doja Cat,"pop, rnb, rap, Hip-Hop, seen live, hip hop, female vocalists, pop rap, american, trap, alternative, USA, California, electronic, Dope, r&b, female vocalist, los angeles, dance-pop, dance pop, want to see live, 2010s, contemporary rnb, alternative rnb, english, 10s, United States, jazz rap, comedy rap, west coast hip hop, doja cat, industry plant, Disco, electronica, electropop, jazz, rock, soul, experimental, sexy, indie pop, cute, funk, psychedelic, 3, seenlive, internet, Psychedelia, r and b, f, queer, rhythm and blues, hot, western, female vocal, south african, Disney, Neo Soul, libra, mine, bubblegum pop, high, illuminati, good rap, nazi, bass music, Hell Yeah, female rap, hip-pop, opener, satanic black metal, Acid Trip, female rappers, female mc, jazz hip-hop, Better than Nicki Minaj, disco-funk, demon, parody rap, done, Female Vox, in english, hip pop, corporate, booba, virgo, over 1 million listeners, ENG, Estados Unidos, chanteurs, us american, cancelled, cvlt, the sound of a cathedral crumbling into dust with every microsecond extended unto eternity, los angeles county, zzzzzzzzz, musical journey to the ends of time, 2020s, Ladytronica, piotr krasko w swojej mazurskiej posiadlosci"
